(878,1024)
(810,1443)
(844,1056)
(864,1355)
(605,1171)
(793,1088)
(725,683)
(587,514)
(372,1259)
(562,897)
(697,736)
(526,593)
(851,641)
(840,670)
(1132,1444)
(680,924)
(588,998)
(539,1155)
(772,707)
(753,1381)
(894,1368)
(762,1333)
(712,1294)
(949,1277)
(794,861)
(997,1235)
(712,815)
(869,958)
(1028,912)
(673,779)
(782,655)
(772,1129)
(422,860)
(606,589)
(580,1021)
(483,927)
(1231,940)
(642,1356)
(791,1514)
(485,694)
(380,603)
(400,1366)
(561,978)
(872,1484)
(962,831)
(906,1026)
(986,957)
(574,1111)
(716,886)
(892,1234)
